ActorID,Play1,Play2,Play3,Play4,Play5,Play6,Play7,Play8,Play9,Play10,Play11,Play12,Play13,Play14,Play15,Play16,Play17,Play18,Play19,Play20
A1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
A2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
A3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
A6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
A7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
A10,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
A11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
A12,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
A13,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
A14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
A15,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
A16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A17,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
A18,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
A19,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
A20,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A23,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
A24,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
A25,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0
A26,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
A27,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
A29,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
A30,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
A31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A33,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
A34,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
A35,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
A36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
A38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A39,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A40,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A41,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
A42,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A43,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
A44,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
A45,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
A46,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
A47,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
A48,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
A49,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
A50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
A51,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A52,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
A53,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
A54,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
A55,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
A56,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
A57,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
A58,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A59,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
A60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A61,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
A62,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
A63,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A64,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A65,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
A66,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A67,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
A68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A69,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
A70,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A71,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
A72,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A74,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A75,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A76,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
A77,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
A78,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
A79,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A80,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
A81,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
A82,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
A83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A84,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
A85,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
A86,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
A87,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A88,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A89,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
A90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
A91,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
A92,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
A93,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A95,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
A96,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
A97,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
A98,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
A99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
A100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A101,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
A102,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A103,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A104,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
A105,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
